,Entity,Code,Year,Working hours (hours per person engaged),GDP per capita (int.-$) (constant 2011 international $),Unnamed: 5
5857,Brazil,BRA,1975.0,2063.667,0.0,107216000.0
5858,Brazil,BRA,1976.0,2047.6881,0.0,109791000.0
5859,Brazil,BRA,1977.0,2031.8329,0.0,112425000.0
5860,Brazil,BRA,1978.0,2016.1005,0.0,115121000.0
5861,Brazil,BRA,1979.0,2000.4897,0.0,117878000.0
5862,Brazil,BRA,1980.0,1985.0,0.0,120694000.0
5863,Brazil,BRA,1981.0,1974.0968,0.0,123570000.0
5864,Brazil,BRA,1982.0,1963.2535,0.0,126498000.0
5865,Brazil,BRA,1983.0,1952.4698,0.0,129449000.0
5866,Brazil,BRA,1984.0,1941.7454,0.0,132384000.0
5867,Brazil,BRA,1985.0,1931.0797,0.0,135274000.0
5868,Brazil,BRA,1986.0,1920.4728,0.0,138108992.0
5869,Brazil,BRA,1987.0,1909.924,0.0,140892000.0
5870,Brazil,BRA,1988.0,1899.4332,0.0,143628000.0
5871,Brazil,BRA,1989.0,1889.0,0.0,146328000.0
5872,Brazil,BRA,1990.0,1879.0,10344.86439,149003008.0
5873,Brazil,BRA,1991.0,1868.4705,10319.92934,151648000.0
5874,Brazil,BRA,1992.0,1858.0,10099.77562,154259008.0
5875,Brazil,BRA,1993.0,1858.9998,10398.16036,156848992.0
5876,Brazil,BRA,1994.0,1860.0,10776.43311,159432992.0
5877,Brazil,BRA,1995.0,1855.2317,11072.72529,162020000.0
5878,Brazil,BRA,1996.0,1850.4756,11137.589259999999,164615008.0
5879,Brazil,BRA,1997.0,1845.7317,11334.82075,167208992.0
5880,Brazil,BRA,1998.0,1841.0,11197.70194,169784992.0
5881,Brazil,BRA,1999.0,1813.8428,11081.654620000001,172319008.0
5882,Brazil,BRA,2000.0,1837.9270000000001,11370.970940000001,174790000.0
5883,Brazil,BRA,2001.0,1828.3264,11368.46645,177196000.0
5884,Brazil,BRA,2002.0,1818.7257,11559.5606,179538000.0
5885,Brazil,BRA,2003.0,1811.1825,11541.97503,181808992.0
5886,Brazil,BRA,2004.0,1803.1261,12058.207709999999,184006000.0
5887,Brazil,BRA,2005.0,1783.1312,12298.58795,186127008.0
5888,Brazil,BRA,2006.0,1778.7123,12643.56501,188167008.0
5889,Brazil,BRA,2007.0,1781.6913,13268.4139,190130000.0
5890,Brazil,BRA,2008.0,1784.6703,13802.817990000001,192030000.0
5891,Brazil,BRA,2009.0,1779.3353,13649.86584,193887008.0
5892,Brazil,BRA,2010.0,1779.5791,14537.56719,195714000.0
5893,Brazil,BRA,2011.0,1773.1746,14973.098469999999,197515008.0
5894,Brazil,BRA,2012.0,1766.77,15119.91214,199287008.0
5895,Brazil,BRA,2013.0,1755.6323,15432.89363,201036000.0
5896,Brazil,BRA,2014.0,1739.4747,15374.26151,202764000.0
5897,Brazil,BRA,2015.0,1709.4856,14702.591269999999,204472000.0
5898,Brazil,BRA,2016.0,1709.4856,14077.12141,206163008.0
5899,Brazil,BRA,2017.0,1709.4856,14103.451530000002,207834000.0
5900,Brazil,BRA,2018.0,0.0,0.0,209468992.0
5901,Brazil,BRA,2019.0,0.0,0.0,211050000.0
8738,China,CHN,1950.0,0.0,0.0,554419008.0
8739,China,CHN,1951.0,0.0,0.0,569908992.0
8740,China,CHN,1952.0,0.0,0.0,582576000.0
8741,China,CHN,1953.0,0.0,0.0,593366016.0
8742,China,CHN,1954.0,0.0,0.0,603052032.0
8743,China,CHN,1955.0,0.0,0.0,612241984.0
8744,China,CHN,1956.0,0.0,0.0,621363008.0
8745,China,CHN,1957.0,0.0,0.0,630678016.0
8746,China,CHN,1958.0,0.0,0.0,640296000.0
8747,China,CHN,1959.0,0.0,0.0,650212992.0
8748,China,CHN,1960.0,0.0,0.0,660408000.0
8749,China,CHN,1961.0,0.0,0.0,670953024.0
8750,China,CHN,1962.0,0.0,0.0,682102976.0
8751,China,CHN,1963.0,0.0,0.0,694339008.0
8752,China,CHN,1964.0,0.0,0.0,708254976.0
8753,China,CHN,1965.0,0.0,0.0,724219008.0
8754,China,CHN,1966.0,0.0,0.0,742414976.0
8755,China,CHN,1967.0,0.0,0.0,762580992.0
8756,China,CHN,1968.0,0.0,0.0,784075008.0
8757,China,CHN,1969.0,0.0,0.0,805985984.0
8758,China,CHN,1970.0,1976.3120000000001,0.0,827601024.0
8759,China,CHN,1971.0,1975.7937,0.0,848760000.0
8760,China,CHN,1972.0,1975.5077,0.0,869486016.0
8761,China,CHN,1973.0,1975.3647,0.0,889484992.0
8762,China,CHN,1974.0,1975.1897,0.0,908464000.0
8763,China,CHN,1975.0,1974.8975,0.0,926241024.0
8764,China,CHN,1976.0,1974.2075,0.0,942684992.0
8765,China,CHN,1977.0,1973.4353,0.0,957891008.0
8766,China,CHN,1978.0,1972.7274,0.0,972204992.0
8767,China,CHN,1979.0,1972.1038,0.0,986131968.0
8768,China,CHN,1980.0,1971.4967,0.0,1000089024.0
8769,China,CHN,1981.0,1971.1016,0.0,1014022016.0
8770,China,CHN,1982.0,1970.7063,0.0,1027948992.0
8771,China,CHN,1983.0,1970.1927,0.0,1042430976.0
8772,China,CHN,1984.0,1969.7229,0.0,1058172032.0
8773,China,CHN,1985.0,1969.3905,0.0,1075588992.0
8774,China,CHN,1986.0,1970.4417,0.0,1095014016.0
8775,China,CHN,1987.0,1971.4633,0.0,1116094976.0
8776,China,CHN,1988.0,1972.6764,0.0,1137724032.0
8777,China,CHN,1989.0,1973.9873,0.0,1158356992.0
8778,China,CHN,1990.0,1975.354,1526.408699,1176883968.0
8779,China,CHN,1991.0,1976.88,1645.666366,1192897024.0
8780,China,CHN,1992.0,1978.4241,1856.7221809999999,1206711040.0
8781,China,CHN,1993.0,1981.6498,2090.03841,1218817024.0
8782,China,CHN,1994.0,1989.3041,2336.277721,1230019968.0
8783,China,CHN,1995.0,2001.8339999999998,2564.0713170000004,1240920960.0
8784,China,CHN,1996.0,2017.2693,2789.2528,1251635968.0
8785,China,CHN,1997.0,2037.369,3015.699631,1261996032.0
8786,China,CHN,1998.0,2062.054,3221.002621,1271981952.0
8787,China,CHN,1999.0,2082.0659,3438.074685,1281515008.0
8788,China,CHN,2000.0,2090.4753,3700.7436479999997,1290551040.0
8789,China,CHN,2001.0,2103.5127,3980.3644979999995,1299129984.0
8790,China,CHN,2002.0,2118.1997,4314.791343,1307352064.0
8791,China,CHN,2003.0,2138.0828,4718.326346,1315303936.0
8792,China,CHN,2004.0,2167.8962,5164.641095,1323085056.0
8793,China,CHN,2005.0,2192.3545,5719.455365999999,1330776064.0
8794,China,CHN,2006.0,2183.0564,6411.042544,1338408960.0
